row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
1,17,4,8,0.01,ReLU,SGD,-136,1.058430499035278,0.347,347,653
1,18,4,8,0.01,ReLU,SGD,-407,0.9238189982949466,0.397,397,603
1,19,4,8,0.01,ReLU,SGD,-136,0.9493305859523552,0.387,387,613
1,20,4,8,0.01,ReLU,SGD,-164,0.9493305859523552,0.387,387,613
1,21,4,8,0.01,ReLU,SGD,-316,1.0384583658483626,0.354,354,646
1,22,2,8,0.01,ReLU,SGD,125,0.9649559038554361,0.381,381,619
1,23,2,8,0.01,ReLU,SGD,-63,1.0272222925814367,0.358,358,642
1,24,5,8,0.01,ReLU,SGD,-289,1.1841701770297564,0.306,306,694
1,25,1,8,0.01,ReLU,SGD,589,0.657780036722654,0.518,518,482
1,26,4,8,0.01,ReLU,SGD,-306,1.1177951080848836,0.327,327,673
1,27,3,8,0.01,ReLU,SGD,-280,1.0700248318161971,0.343,343,657
1,28,2,8,0.01,ReLU,SGD,450,0.6951491832306184,0.499,499,501
1,29,1,8,0.01,ReLU,SGD,399,0.6386589952758756,0.528,528,472
1,30,2,8,0.01,ReLU,SGD,20,0.8746690571833357,0.417,417,583
1,31,4,8,0.01,ReLU,SGD,-267,1.0966142860054366,0.334,334,666
1,32,3,8,0.01,ReLU,SGD,-83,1.1177951080848836,0.327,327,673
1,33,5,8,0.01,ReLU,SGD,-151,1.058430499035278,0.347,347,653
1,34,5,8,0.01,ReLU,SGD,-81,1.1177951080848836,0.327,327,673
1,35,1,8,0.01,ReLU,SGD,741,0.5259392615760389,0.591,591,409
1,36,3,8,0.01,ReLU,SGD,-137,1.0555527992076628,0.348,348,652
1,37,2,8,0.01,ReLU,SGD,25,0.8675005677047231,0.42,420,580
1,38,2,8,0.01,ReLU,SGD,92,0.9339456671128757,0.393,393,607
1,39,3,8,0.01,ReLU,SGD,-119,1.0051219455807707,0.366,366,634
1,40,2,8,0.01,ReLU,SGD,592,0.6217571844732723,0.537,537,463
1,41,5,8,0.01,ReLU,SGD,-169,1.0356374895067213,0.355,355,645
1,42,4,8,0.01,ReLU,SGD,-314,1.0788096613719298,0.34,340,660
1,43,4,8,0.01,ReLU,SGD,-67,0.991553216374702,0.371,371,629
1,44,4,8,0.01,ReLU,SGD,-116,1.0216512475319814,0.36,360,640
1,45,2,8,0.01,ReLU,SGD,-173,1.0272222925814367,0.358,358,642
1,46,4,8,0.01,ReLU,SGD,-334,1.1332037334377287,0.322,322,678
1,47,5,8,0.01,ReLU,SGD,-246,1.18090753139494,0.307,307,693
1,48,1,8,0.01,ReLU,SGD,510,0.7133498878774648,0.49,490,510
1,49,5,8,0.01,ReLU,SGD,-318,1.1841701770297564,0.306,306,694
