,turn,"accuracy (11, 30)","surprisal (11, 30)","accuracy (22, 48)","surprisal (22, 48)","accuracy (43, 46)","surprisal (43, 46)","accuracy (14, 49)","surprisal (14, 49)"
0,2,0.0,inf,0.0,inf,0.0,inf,0.0,inf
1,7,0.0,inf,0.16666666666666666,1.791759469228055,0.16666666666666666,1.791759469228055,0.6666666666666666,0.40546510810816444
2,12,0.09090909090909091,2.3978952727983707,0.09090909090909091,2.3978952727983707,0.09090909090909091,2.3978952727983707,0.5454545454545454,0.6061358035703156
3,17,0.0625,2.772588722239781,0.0625,2.772588722239781,0.0625,2.772588722239781,0.6875,0.3746934494414107
4,22,0.047619047619047616,3.044522437723423,0.14285714285714285,1.9459101490553135,0.14285714285714285,1.9459101490553135,0.7142857142857143,0.3364722366212129
5,27,0.07692307692307693,2.5649493574615367,0.19230769230769232,1.6486586255873816,0.3076923076923077,1.1786549963416462,0.6923076923076923,0.3677247801253174
6,32,0.12903225806451613,2.0476928433652555,0.16129032258064516,1.824549292051046,0.2903225806451613,1.2367626271489267,0.6451612903225806,0.4382549309311553
7,37,0.16666666666666666,1.791759469228055,0.25,1.3862943611198906,0.3055555555555556,1.1856236656577395,0.5555555555555556,0.587786664902119
8,42,0.21951219512195122,1.5163474893680884,0.21951219512195122,1.5163474893680884,0.2682926829268293,1.3156767939059373,0.4878048780487805,0.7178397931503169
9,47,0.21739130434782608,1.5260563034950494,0.1956521739130435,1.6314168191528755,0.2826086956521739,1.2636920390275583,0.43478260869565216,0.832909122935104
10,52,0.23529411764705882,1.4469189829363254,0.19607843137254902,1.62924053973028,0.29411764705882354,1.2237754316221157,0.43137254901960786,0.8407831793660099
11,57,0.21428571428571427,1.540445040947149,0.19642857142857142,1.6274564179367788,0.32142857142857145,1.1349799328389845,0.4107142857142857,0.8898574748059995
12,62,0.19672131147540983,1.625967214385311,0.19672131147540983,1.625967214385311,0.3114754098360656,1.1664348850068706,0.39344262295081966,0.9328200338253656
13,67,0.18181818181818182,1.7047480922384253,0.22727272727272727,1.4816045409242156,0.3181818181818182,1.1451323043030026,0.3787878787878788,0.9707789171582248
14,72,0.16901408450704225,1.777773227253315,0.22535211267605634,1.490091154801534,0.352112676056338,1.0438040521731147,0.36619718309859156,1.0045833390198333
15,77,0.15789473684210525,1.845826690498331,0.23684210526315788,1.4403615823901665,0.39473684210526316,0.9295359586241757,0.3684210526315789,0.9985288301111273
16,82,0.16049382716049382,1.8294997972109022,0.24691358024691357,1.3987168811184478,0.41975308641975306,0.8680886300562775,0.35802469135802467,1.0271533246859648
17,87,0.20930232558139536,1.563975538357343,0.26744186046511625,1.318853080324358,0.4069767441860465,0.898999234764094,0.3488372093023256,1.0531499145913523
18,92,0.2087912087912088,1.5664205273504095,0.2967032967032967,1.215022640512521,0.3956043956043956,0.9273405680607401,0.3626373626373626,1.0143519450503697
19,97,0.19791666666666666,1.6199092123013958,0.2916666666666667,1.2321436812926323,0.3958333333333333,0.9267620317414506,0.375,0.9808292530117262
